notice_date,event_number,reason,company,address,county,phone,business_type,affected,total_employees,layoff_date,dislocation,union,classification
9/16/2019,2018-0419,Plant Closing,"WestRock CP, LLC","28 Park Drive Amsterdam, NY 12010",Montgomery County,(803) 367-1396,American corrugated packaging company.,52,52,Separations,Economic,"Amalgamated Lithographers of America, Local 259",Plant Closing
9/17/2019,2019-0064,Plant Closing,Sure Winner Foods,"102 Farrell Rd Syracuse, NY 13209",Onondaga County,(501) 305-9055,Dairy Product (except Dried or Canned) merchant Wholesalers,106,To,The,Business partner’s elimination of direct store deliveries,The employees are not represented by a union.,Plant Closing
9/15/2019,2019-0063,Plant Closing,Briad Restaurant Group LLC dba Fridays,"1780 East Gun Hill Rd Bronx, NY 10469",Bronx County,(973) 255-6187,Restaurant,62,62,12/22/2019,Economic,The employees are not represented by a union.,Plant Closing
9/11/2019,2018-0395,Plant Closing,"American Precision Industries, Inc.","45 Hazelwood Drive Amherst, NY 14228",Erie County,(630) 694-3339,Transmission Company,79,79,The,Economic,"International United Automobile, Aerospace and Agricultural Implement Workers of America (UAW) Local Union No. 1416",Plant Closing
9/11/2019,2019-0053,Plant Closing,"Premier Fixtures, LLC","400 Oser Avenue, Suite 350 Hauppauge, NY 11788",Suffolk County,(631) 236-4525 Ext,Custom architectural woodwork & millwork manufacturing,44,44,Separations,Economic,The employees are not represented by a union.,Plant Closing
May,2019-0062,Plant Layoff,"Goldman, Sachs & Co. LLC","200 West Street New York, NY 10282",New York County,(212) 357-2191,Global investment banking,2,8963,Separations,Economic,The employees are not represented by a union.,Plant Layoff
9/12/2019,2019-0052,Plant Closing,IntraPac International LLC,"4 Plant Street Plattsburgh, NY 12901",Clinton County,(704) 360-8918,Plastic Production Manufacturer,83,83,Employees,"Moving production to Mebane, NC facility",Teamsters Local 687,Plant Closing
9/10/2019,2019-0051,Plant Closing,F.G.W.J. Food Corp.,"427 East 14th Street New York, NY 10009",New York County,(212) 254-1586,Supermarket,73,73,12/10/2019,Economic,"United Food & Commercial Workers (UFCW) Local 342, and Retail, Wholesale and Department Store Union Local 338",Plant Closing
9/6/2019,2019-0049,Plant Layoff,Deutsche Bank,"60 Wall Street New York, NY 10005",New York County,(212) 250-9093,Banking,104,4800,Separations,Economic,The employees are not represented by a union.,Plant Layoff
8/30/2019,2019-0046,Plant Closing,Damiano Corp of South Sutphin dba McDonald's,"90-67 Sutphin Blvd. Jamaica, NY 11435",Queens County,(201) 794-7606 Ext. 7880,Restaurant,30,30,11/30/2019,Economic,The employees are not represented by a union.,Plant Closing
8/15/2019,2019-0050,Plant Layoff,"Home Box Office, Inc.","30 Hudson Yards New York, NY 10001",New York County,(212) 512-5644,American premium channel,3,0,11/15/2019,Merger,The employees are not represented by a union.,Plant Layoff
8/29/2019,2019-0047,Plant Layoff,IPT LLC dba Paylock,"3717 Irwin Ave Bronx, NY 10463",Bronx County,(908) 595-6900 Ext,Provides unique parking management products and services,15,15,Separations,Loss of contract with the city of New York,The employees are not represented by a union.,Plant Layoff
9/4/2019,2019-0044,Plant Closing,Johnson and Hoffman LLC,"40 Voice Road Carle Place, NY 11514",Nassau County,(816) 868-8690,Metal stamping service,63,63,The,Economic,The employees are not represented by a union.,Plant Closing
9/4/2019,2019-0043,Plant Closing,"WS Packaging Group, Inc.","29 Jetview Drive Rochester, NY 14624",Monroe County,(814) 493-3950,Produce high-quality label and packaging products,38,38,The,Economic,The employees are not represented by a union.,Plant Closing
8/29/2019,2019-0041,Plant Closing,Transform KM LLC (Kmart Unit #04034),"2803 Brewerton Rd Mattydale, NY 13211",Onondaga County,(847) 286-1427,Retail store,55,55,Separations,Economic,The employees are not represented by a union.,Plant Closing
8/29/2019,2019-0040,Plant Closing,Transform KM LLC (Kmart Unit #03415),"1001 Hertel Avenue Buffalo, NY 14216",Erie County,(847) 286-1427,Retail store,58,58,Separations,Economic,The employees are not represented by a union.,Plant Closing
8/29/2019,2019-0042,Plant Closing,Transform KM LLC (Kmart Unit #09414),"Rte 118 355 Downing Dr. Yorktown Heights, NY 10598",Westchester County,(847) 286-1427,Retail store,41,41,Separations,Economic,The employees are not represented by a union.,Plant Closing
8/29/2019,2019-0039,Plant Closing,Eastern Niagara Hospital,"2600 Williams St. Newfane, NY 14180",Niagara County,(716) 514-5542,Hospital,42,42,Affected,Economic,New York State Nurses Association (NYSNA) and Service Employees International Union (SEIU),Plant Closing
8/23/2019,2019-0038,Plant Closing,La Loggia LLC d/b/a Tarry Lodge Port Chester,"18 Mill Street Port Chester, NY 10573",Westchester County,(646) 556-5467,Restaurant,50,50,11/22/2019,Due to construction occurring on the premises.,The employees are not represented by a union.,Plant Closing
8/27/2019,2019-0037,Plant Closing,"MarineMax Services, Inc.","846 South Wellwood Ave. Lindenhurst, NY 11757",Suffolk County,(727) 400-3513,Recreational boat and yacht dealer,50,50,All,Due to construction occurring on the premises.,The employees are not represented by a union.,Plant Closing
8/19/2019,2019-0036,Plant Closing,Research Foundation of The City University of New York Mental Health Services Corps,"(various NYC sites) 230 West 41st Street New York, NY 10036",Kings County,(212) 417-8601,Home care services,265,265,Employment,"Transferring the Mental Health Services Corps from Hunter College, The City University of New York to the New York City Health and Hospitals Corporation.",The employees are not represented by a union.,Plant Closing
8/19/2019,2019-0035,Plant Layoff,"Metropolitan Jewish Home Care, Inc. dba MJHS Home Care","6323 Seventh Avenue Brooklyn, NY 11220",Kings County,(718) 491-7290,Home care services,28,170,11/18/2019,Economic,The employees are not represented by a union.,Plant Layoff
8/16/2019,2019-0034,Plant Closing,"Nestle USA, Inc. (and Nestle Dreyer's Ice Cream Company)","565 Broadhollow Road Farmingdale, NY 11735",Nassau County,(703) 682-7742,Packaged Foods,39,39,The,Shifting from direct-store delivery (DSD) to a warehouse distribution model for its frozen pizza and ice cream businesses.,The employees are not represented by a union.,Plant Closing
8/15/2019,2019-0032,Plant Closing,Transform KM LLC (Kmart Unit 04871),"2280 North Ocean Avenue Farmingville, NY 11738",Suffolk County,(847) 286-1427,Retail store,91,91,Separations,Economic,The employees are not represented by a union.,Plant Closing
8/16/2019,2019-0033,Plant Closing,"RNN News, LLC (Verizon Corporate Services Group Inc.'s FIOS1 News network)","800 Westchester Avenue Rye Brook, NY 10573",Westchester County,(914) 417-2700,Provides news programming and support services for Verizon Corporate Services Group Inc.’s FiOSl News network,145,145,11/15/2019,Expiration of contract,The employees are not represented by a union.,Plant Closing
8/1/2019,2019-0031,Plant Closing,The Service Companies at Innside New York,"70-74 Morningside Drive New York, NY 10027",New York County,(786) 237-2200,Housekeeping Services,66,66,Separations,Termination of housekeeping services agreement,The employees are not represented by a union.,Plant Closing
7/18/2019,2019-0025,Plant Closing,Spruce & Bond (HBG employees),"25 Bond Street New York, NY 10012",New York County,(646) 360-1413,"Wax, Laser, Brows in a hi-tech studio",6,0,Layoffs,Economic,The employees are not represented by a union.,Plant Closing
8/9/2019,2019-0030,Plant Closing,PAE Field Offices Support Services (FOSS),"Jacob Javits Federal Building, 26 Federal Plaza New York, NY 10278",New York County,(703) 656-7844,Support and professional services focused on national security customers.,97,97,Layoffs,Loss of contract,The employees are not represented by a union.,Plant Closing
8/6/2019,2018-0031,Plant Closing,CenterLight Certified Home Health Agency (CHHA),"1000 Gates Avenue (formerly located at 596 Prospect Place in Brooklyn, NY)  Brooklyn, NY 11221",Brooklyn County,(347) 920-7277,Home Health Care,105,105,Separations,Sale to Cassena Care,1199 SEIU United Healthcare Workers East and the New York State Nurses Association (NYSNA),Plant Closing
8/5/2019,2019-0014,Plant Closing,Community Development Institute Head Start,"216 Beach 87th Street Rockaway Beach, NY 11693",Queens County,603-427-0224,Pre-School,0,63,Due,Economic,The employees are not represented by a union.,Plant Closing
7/29/2019,2019-0022,Plant Layoff,L3 Harris Technologies,"600 Third Avenue New York, NY 10016",New York County,(212) 805-5318,A global defense technology leader,33,117,10/31/2019;,Economic,The employees are not represented by a union.,Plant Layoff
4/18/2019,2019-0024,Plant Layoff,"Goldman, Sachs & Co. LLC","200 West Street New York, NY 10282",New York County,(212) 357-219,A global defense technology leader,10,117,Employee,Economic,The employees are not represented by a union.,Plant Layoff
7/16/2019,2019-0012,Plant Layoff,"Turner Broadcasting System, Inc.","501 West 30th Street New York, NY 10001",New York County,(404) 878-7886,Company research & investing information,2,1725,Two,Economic,The employees are not represented by a union.,Plant Layoff
7/16/2019,2019-0017,Plant Closing,The Kildonan School,"425 Morse Hill Road Amenia, NY 12501",Dutchess County,(402) 649-2162,School,59,59,Separations,Economic,The employees are not represented by a union.,Plant Closing
7/29/2019,2019-0021,Plant Closing,"Crystal Run Health Plan, LLC (Phase 2)","109 Rykowski Lane Middletown, NY 10941",Orange County,(845) 703-6106,Health Plans,3,26,Separations,Economic,The employees are not represented by a union.,Plant Closing
7/29/2019,2019-0018,Plant Closing,Dean & DeLuca Inc.,"29-35 9th Avenue New York, NY 10014",New York County,(316) 821-3286,Gourmet foods and fine food gifts,35,35,Separations,Economic,The employees are not represented by a union.,Plant Closing
7/26/2019,2018-0441,Plant Closing,Dean & DeLuca Inc.,"1150 Madison Avenue New York, NY 10028",New York County,(316) 821-3286,Gourmet foods and fine food gifts,58,58,Separatons,Loss of lease for the premises,The employees are not represented by a union.,Plant Closing
7/19/2019,2019-0016,Plant Closing,Plated Fulfillment Center,"511 Barry Street Bronx, NY 10474",Bronx County,(631) 334-1937,Prepare and distribute meal kits,98,98,10/12/2019,"Relocation of operations to Totowa, New Jersey",The employees are not represented by a union.,Plant Closing
7/18/2019,2019-0015,Plant Layoff,DB USA Core Corporation (Deutsche Bank),"60 Wall Street New York, NY 10005",New York County,(212) 250-9093,Prepare and distribute meal kits,98,98,10/12/2019,"Relocation of operations to Totowa, New Jersey",The employees are not represented by a union.,Plant Layoff
7/10/2019,2018-0374,Plant Closing,CallVista LLC,"530 Summit Point Drive Henrietta, NY 14467",Monroe County,(443) 278-8596,Call center,27,27,Separations,Economic,The employees are not represented by a union.,Plant Closing
7/10/2019,2018-0376,Plant Closing,ClickSpark LLC,"530 Summit Point Drive Henrietta, NY 14467",Monroe County,(443) 278-8596,Internet marketing service,6,6,Separations,Economic,The employees are not represented by a union.,Plant Closing
7/16/2019,2019-0013,Plant Closing,Saks Fifth Avenue OFF 5th,"2100 Bartow Avenue Bronx, NY 10475",Bronx County,(609) 462-3260,Internet marketing service,6,6,Employee,Economic,The employees are not represented by a union.,Plant Closing
7/11/2019,2019-0011,Plant Closing,Transform SR LLC (Sears Full Line Store Unit 01624),"283 Platinum Ave Staten Island, NY 10314",Richmond County,(847) 286-1427,Retail Store,39,39,Separations,Economic,The employees are not represented by a union.,Plant Closing
7/10/2019,2019-0010,Plant Closing,"Amneal Pharmaceuticals, LLC","75 Adams Avenue Hauppauge, NY 11788",Suffolk County,(732) 645-3046,Pharmaceutical company,18,220,Separations,Economic,The employees are not represented by a union.,Plant Closing
7/12/2019,2018-0415,Plant Closing,"Dry Cycle Brands, LLC dba FlyCleaners","4700 Northern Blvd. Long Island City, NY 11101",Queens County,(646) 727-0819,"Pickup, delivery, dry cleaning, and laundry services.",71,71,Separations,Economic,The employees are not represented by a union.,Plant Closing
7/10/2019,2019-0009,Plant Layoff,Turner Broadcasting Sales Inc.,"30 Hudson Yards New York, NY 10001",New York County,(212) 275-6550,Company research & investing information,14,620,Eleven,Economic,The employees are not represented by a union.,Plant Layoff
7/8/2019,2019-0006,Plant Layoff,Barclays Services Corp. (Chief Operating Office and Functions  teams),"745 7th Avenue New York, NY 10019",New York County,(212) 526-5862,Company research & investing information,14,620,The,Economic,The employees are not represented by a union.,Plant Layoff
7/10/2019,2019-0007,Plant Layoff,AllianceBernstein L.P. (Phase 6),"1345 Sixth Avenue New York, NY 10105",New York County,(212) 969-2135,Company research & investing information,14,620,October,Economic,The employees are not represented by a union.,Plant Layoff
7/8/2019,2019-0005,Plant Unit Closing,"Deutsche Bank Securities  Inc., DB USA Core Corporation, and Deutsche Bank AG, New York Branch, and DB  USA Corp. (together, ""Deutsche Bank"")","60 Wall Street Brooklyn, NY 10005",New York County,(212) 250-9093,Company research & investing information,14,620,Separations,Economic,The employees are not represented by a union.,Plant Unit Closing
7/8/2019,2019-0004,Plant Closing,Empire Paratransit Corp.,"880 Alabama Avenue Brooklyn, NY 11207",Kings County,(718) 272-2060,Transportation service provider,325,325,The,"New York Transit Authority terminated Empire Paratransit Corp.'s contract as of July 2, 2019.","United Service Workers Union, Local 355",Plant Closing
7/1/2019,2019-0003,Plant Closing,Columbia University (Early Head Start Program),"4467 Broadway New York, NY 10040",New York County,(212) 305-0261,Transportation service provider,325,325,Separations,"New York Transit Authority terminated Empire Paratransit Corp.'s contract as of July 2, 2019.","1199, SEIU United  Healthcare Workers East (one employee is represented by the union)",Plant Closing
7/1/2019,2019-0002,Plant Closing,"Advance Transit Co., Inc.","1340 Lafayette Avenue Bronx, NY 10474",Bronx County,(718) 589-0015 ext. 311 / (212) 688-0888,Provides transportation throughout the five boroughs of NYC for people with disabilities.,143,143,Separations,Loss of contract with the Metropolitan Transit Authority – New York City Transit Authority,"International Brotherhood of Teamsters, Local 553",Plant Closing
6/28/2019,2018-0439,Plant Layoff,"Crosstex International, Inc. (Cantel)","10 Ranick Road Hauppauge, NY 11788",Suffolk County,(631) 582-6777,Dental equipment distribution and manufacturing,5,99,Separations,"Restructuring which will involve the relocation of certain dental equipment distribution and manufacturing operations to Rush, NY.",The employees are not represented by a union.,Plant Layoff
7/1/2019,2019-0001,Plant Layoff,JPMorgan Asset Management Holdings Inc. (JPMorgan Chase & Co.),"40 W. 57th Street New York, NY 10019",New York County,(212) 464-1953,Finance,52,106,9/30/2019,Restructuring,The employees are not represented by a union.,Plant Layoff
6/28/2019,2018-0436,Plant Closing,LimeLife USA LLC d/b/a Limelife by Alcone,"(Warehouse) 8 Westchester Plaza Elmsford, NY 10523",Westchester County,(646) 567-0066,"Retails chemical-free, natural, organic skin care, professional makeup",39,39,10/1/2019,Economic,The employees are not represented by a union.,Plant Closing
6/28/2019,2018-0437,Plant Closing,"Rare Chelsea Restaurant Group, LLC, aka Rare Bar & Grill Chelsea","152 West 26th Street New York, NY 10001",New York County,(646) 401-4727,Restaurant,79,79,9/30/2019,Economic,The employees are not represented by a union.,Plant Closing
Notices,2018-0434,Plant Layoff,"Warner Media, LLC (formerly Time Warner Inc.)","One Time Warner Center New York, NY 10019",New York County,(212) 484-6572,Media services,63,0,Separations,Merger,The employees are not represented by a union.,Plant Layoff
6/18/2019,2018-0433,Plant Closing,Banfi Products Corporation (Warehouse),"1111 Cedar Swamp Road Glen Head, NY 11545",Nassau County,(516) 686-2579,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,1,64,The,Economic,The employees are not represented by a union.,Plant Closing
6/20/2019,2018-0429,Plant Closing,Four Seasons Restaurant,"42 East 49th Street New York, NY 10007",New York County,(212) 754-9494,Restaurant,85,85,6/11/2019,Economic,"UNITE HERE, Local 100",Plant Closing
6/21/2019,2018-0432,Plant Closing,"Ivy Enterprises, Inc.","3 Seaview Blvd Port Washington, NY 11050",Nassau County,(516) 625-9292,Restaurant,85,85,6/11/2019,Relocated to New Jersey,The employees are not represented by a union.,Plant Closing
6/18/2019,2018-0430,Plant Closing,"Kiss Products, Inc. (Warehouse)","57 Seaview Blvd Port Washington, NY 11050",Nassau County,(516) 625-9292,Restaurant,54,196,Separations,Relocated to New Jersey,The employees are not represented by a union.,Plant Closing
6/17/2019,2018-0427,Plant Layoff,"CONMED Corporation and Buffalo Filter, LLC","5900 Genesee Street Lancaster, NY 14086",Erie County,(574) 306-8710,Medical equipment manufacturer,24,82,The,Economic,The employees are not represented by a union.,Plant Layoff
6/17/2019,2017-0218,Plant Closing,Jabil Inc.,"2455 South Road, Bldg 002-2, Core Office 1 Poughkeepsie, NY 12601",Dutchess County,(901) 202-7440,Global manufacturing services company.,83,83,Termination,Economic,The affected workers are not represented by a union.,Plant Closing
6/17/2019,2018-0426,Plant Layoff,"Home Health Services of WJCS, Inc.","845 North Broadway White Plains, NY 10603",Westchester County,(914) 761-0600 Ext,Personal care aides and certified home health care aides,73,685,Separations,Reduction in home health aide services.,The employees are not represented by a union.,Plant Layoff
6/1/2019,2018-0423,Plant Closing,"M. Slavin & Sons, Ltd.","800 Food Center Drive, Unit 66 Bronx, NY 10474",Bronx County,(718) 732-4800 Ext,Wholesale distribution fresh fish,48,48,6/1/2019,Economic,United Seafood Workers Smoked Fish & Cannery Union Local 359 of Greater New York & Vicinity,Plant Closin
April,2018-0424,Plant Layoff,"Goldman, Sachs & Co. LLC","200 West Street New York, NY 10282",New York County,(212) 357-2191,Global investment banking,16,9352,Separations,Economic,The employees are not represented by a union.,Plant Layoff
6/13/2019,2018-0425,Plant Unit Closing,WNY Logistics LLC,"Warehouse 1587 Haskell Road Olean, NY 14760",Cattaraugus County,(603) 903-5148,"Warehouse - Frozen, parishable, and non-parishable foods",134,214,Separations,"Warehousing duties will be shifted to DuBois, PA.",The employees are not represented by a union.,Plant Unit Closing
6/12/2019,2018-0422,Plant Closing,Hillside Children's Center (Hillside Family of Agencies),"Varick Residential Treatment Campus 4887 State Route 96A Romulus, NY 14541",Seneca County,(585) 654-1391,Provider of care for youth and families with a wide range of emotional and behavioral challenges.,244,244,9/10/2019,Recognized national and statewide trends impacting the field of child-and-family services and the number of beds in residential treatment facilities.,The employees are not represented by a union.,Plant Closing
6/13/2019,2018-0421,Plant Closing,"Amsterdam Printing & Litho, Inc. (Web Graphics)","428 Corinth Road Queensbury, NY 12804",Warren County,(518) 954-2826,Graphic Design Services,88,88,Separations,Economic,The employees are not represented by a union.,Plant Closing
6/6/2019,2018-0418,Plant Layoff,AllianceBernstein L.P. (Phase 5),"1345 Sixth Avenue New York, NY 10105",New York County,(212) 969-6169,Providing investment management and research services,24,1461,Layoffs,"Relocation of Corporate Headquarters to Nashville, Tennessee",The employees are not represented by a union.,Plant Layoff
6/11/2019,2018-0420,Plant Closing,"John Hassall, LLC.","609 Cantiague Rock Road Westbury, NY 11590",Nassau County,(516) 334-6200,Manufacturing custom designed metal parts & fasteners,39,39,The,Economic,The employees are not represented by a union.,Plant Closing
6/3/2019,2018-0414,Plant Closing,Transform SR LLC (Full Line Store Unit 01733),"Rte 87 (NY St) & Cross Ct Pkwy Yonkers, NY 10704",Westchester County,(847) 286-1427,Retail Store,170,170,Employment,Economic,The employees are not represented by a union.,Plant Closing
6/5/2019,2018-0416,Plant Closing,"Lucky Strike Entertainment, LLC","One Crossgates Mall Road Albany, NY 12203",Albany County,(818) 933-3759,"Large  entertainment center with bowling, a game room, live music & a modern  American gastropub.",65,65,6/28/2019,Economic,The employees are not represented by a union.,Plant Closing
6/5/2019,2018-0417,Plant Closing,"Steiner Sports Memorabilia, Inc.","145 Huguenot Street New Rochelle, NY 10801",Westchester County,(914) 307-1085,Autographed  sports collectibles from the greatest teams and the best athletes in sports.,65,65,Separation,Economic,The employees are not represented by a union.,Plant Closing
5/31/2019,"2018-0411, 2018-0412, 2018-0413",Plant Closing,"Imperial Distributors, Inc. (at Stop and Shop stores in New York State)","3106 Farrington Street Flushing, NY 11354",Richmond County,(508) 713-6557,Merchandising products in Grocery Stores,42,42,8/31/2019,"These are Imperial Distributors, Inc. Sales Service Representatives/Merchandisers working in Stop and Shop stores. The stores are not closing but rather Imperial’s contract to service in these stores is ending.",The employees are not represented by a union.,Plant Closing
6/3/2019,2018-0410,Plant Closing,Briad Restaurant Group LLC d/b/a Fridays,"Staten Island Mall 280 Marsh Ave Staten Island, NY 10314",Richmond County,(973) 255-6187,Restaurant,38,38,9/8/2019,Economic,The employees are not represented by a union.,Plant Closing
5/31/2019,2018-0409,Plant Unit Closing,Newsday LLC,"235 Pinelawn Road Melville, NY 11747",Suffolk County,(631) 843-2654,Newspaper print and distribution,16,794,This,Economic,"Local 406, Graphic Communications Conference, International Brotherhood of Teamsters",Plant Unit Closing
5/23/2019,2018-0292,Plant Closing,Kuni's Corporation d/b/a Ikinari Steak,"96 8th Avenue New York, NY 10011",New York County,(646) 692-9301,Restaurant,5,5,5/31/2019;,Economic,The employees are not represented by a union.,Plant Closing
5/28/2019,2018-0408,Plant Layoff,Courtroom Television Network LLC ( WarnerMedia),"One Time Warner Center New York, NY 10019",New York County,(818) 559-7979,Media services,48,0,Separations,Economic,The employees are not represented by a union.,Plant Layoff
5/30/2019,2018-0364,Plant Closing,"Crystal Run Health Plan, LLC","109 Rykowski Lane Middletown, NY 10941",Orange County,(845) 703-6106,Health Plans,7,32,Employee,Economic,The employees are not represented by a union.,Plant Closing
5/24/2019,2018-0403,Possible Plant Closing,Arcadia Group (USA) Limited at Topshop and Topman Stores –  SoHo Store,"478 Broadway New York, NY 10013",New York County,-----,British  multinational men & woman fashion retailer,172,172,6/19/2019,Economic,The employees are not represented by a union.,Possible Plant Closing
5/20/2019,2018-0406,Plant Layoff,Eastman Kodak Company (Kodak Office) Remote Workers,"343 State Street Rochester, NY 14650",Monroe County,(585) 724-6615,Photographic equipment and Supplies,2,0,8/17/2019,Economic,The employees are not represented by a union.,Plant Layoff
5/21/2019,2018-0402,Plant Closing,"Chelsea Park, LLC dba The Park","118 Tenth Avenue New York, NY 10011",New York County,(646) 616-5632,Restaurant,129,129,8/25/2019,Economic,The employees are not represented by a union.,Plant Closing
5/21/2019,2018-0401,Plant Closing,"DBX, Inc., a subsidiary of The Dress Barn, Inc. and Ascena Retail Group, Inc","33 West 19th Street New York, NY 10011",New York County,(551) 777- 6936,Clothing Store,30,30,Separations,Economic,The employees are not represented by a union.,Plant Closing
5/21/2019,2018-0400,Plant Unit Closing,"Geritrex, LLC","40 Commercial Avenue Middletown, NY 10941",Orange County,(914) 668-4003 Ext,Pharmaceutical preparations,56,76,Employee,Company will be shifting to a virtual manufacturing model.,The employees are not represented by a union.,Plant Unit Closing
5/23/2019,2018-0289,Possible Plant Layoff,Empire State Mines,"408 Sylvia Lake Rd Gouverneur, NY 13642",St. Lawrence County,(315) 535-3223,Underground zinc mine,87,87,Separations,Restructuring of Operations,The employees are not represented by a union.,Possible Plant Layoff
April,2018-0399,Plant Layoff,"Goldman, Sachs & Co. LLC","200 West Street New York, NY 10282",New York County,(212) 357-2191,Global investment banking,81,9352,Separations,Economic,The employees are not represented by a union.,Plant Layoff
5/13/2019,2018-0398,Plant Layoff,Quin Central Park Hotel,"101 W 57th St. New York, NY 10019",New York County,(646) 589-6550,Hotel services,18,104,9/1/2019,Curtailing housekeeping operations due to renovation of its rooms,"New York Hotel and Motel Trades Council, AFL-CIO",Plant Layoff
5/14/2019,2018-0396,Plant Closing,"Candle Cafe West, LLC","2427 Broadway New York, NY 10024",New York County,(212) 537-7179,Vegan/Organic Restaurant,42,42,4/22/2019,Gas shut off due to faulty connections in the building,The employees are not represented by a union.,Plant Closing
4/30/2019,2018-0393,Plant Closing,Ingersoll Rand,"3101 Broadway Cheektowaga, NY 14227",Erie County,(716) 796-6747,"Engine, Turbine and Power Transmission Manufacturing",228,228,The,Economic,"International Association of Machinists & Aerospace Workers, District 65, Local #330",Plant Closing
5/6/2019,2018-0397,Plant Layoff,Eastman Kodak Company (Kodak Office) Remote Worker,"343 State Street Rochester, NY 14650",Monroe County,(585) 724-6615,Photographic equipment and Supplies,1,0,8/3/2019,Economic,The employees are not represented by a union.,Plant Layoff
5/14/2019,2018-0301,Possible Plant Closing,General Dynamics Information Technology,"9th Street Middle, Building 990 Fort Drum, NY 13602",Jefferson County,(860) 705-9723,IT service management,51,51,Possible,Possible Expiration of Warfighter Focus Contract,The employees are not represented by a union.,Possible Plant Closing
5/9/2019,2018-0358,Plant Closing,"Sodexo, Inc. (at Ithaca College)","1101 Terrace Dining Hall Ithaca, NY 14850",Tompkins County,(607) 274-5197,Food Service Contractors,110,110,Separations,Loss of contract,The employees are not represented by a union.,Plant Closing
5/13/2019,2018-0252,Plant Unit Closing,Concentrix CVG Corporation (Formerly Convergys Corporation),"146 Arsenal Street Watertown, NY 13601",Jefferson County,(513) 592-6050,Inbound Call Center,117,540,The,Loss of Contract,The employees are not represented by a union.,Plant Unit Closing
5/1/2019,2018-0199,Plant Closing,Celmatix Inc. (Operations Office),"14 Wall Street New York, NY 10005",New York County,(917) 371-2506,Biotechnology company,48,48,Employment,Economic,The employees are not represented by a union.,Plant Closing
5/1/2019,2018-0394,Plant Closing,"HN Precision, DBA Nationwide Precision Products","200 Tech Park Drive Rochester, NY 14623",Monroe County,(224) 419-6038,Machining manufacturer,50,50,Layoffs,Economic,The employees are not represented by a union.,Plant Closing
5/1/2019,2018-0392,Plant Unit Closing,Frontier Communications Corp.,"(Technical Support Organization) 122S Jefferson Rd. Rochester, NY 14623",Monroe County,(585) 777-5559,Wired Telecommunications Carriers,286,0,The,Economic,The employees are not represented by a union.,Plant Unit Closing
4/26/2019,2018-0384,Plant Layoff,Quin Central Park Hotel,"101 W 57th St, New York, NY 10019",New York County,(646) 589-6550,Hotel services,10,105,8/1/2019,Curtailing housekeeping operations due to renovation of its rooms,"New York Hotel and Motel Trades Council, AFL-CIO",PlantLayoff
4/29/2019,2018-0385,Plant Closing,NYSARC Inc.- Suffolk Inc. (AHRC Suffolk) at Shoreham ICF facility,"283 Route 25A Shoreham, NY 11786",Suffolk County,(631) 585-0100 Ext,Non-profit organization dedicated to applying professional and financial resources toward improving the lives of people.,285,285,Separations,Transferring operations of its Shoreham ICF facility to Citizens Option Unlimited.,The employees are not represented by a union.,Plant Closing
4/8/2019,2018-0386,Plant Closing,The College of New Rochelle,"Main Campus 29 Castle Place New Rochelle, NY 10805",Westchester County,(914) 654-5996,College,857,857,7/8/2019,Economic,International Brotherhood of Teamsters Local 445,Plant Closing
4/23/2019,2018-0382,Plant Layoff,Eastman Kodak Company (Kodak Office),"343 State Street Rochester, NY 14650",Monroe County,(585) 724-6615,Photographic equipment and Supplies,1,0,7/21/2019,Economic,The employee is not represented by a union.,Plant Layoff
4/12/2019,2018-0383,Plant Closing,"Sodexo, Inc. (at Westchester Medical Center)","100 Woods Road Valhalla, NY 10595",Westchester County,(908) 463-8788,Perform ES/Custodial Services,263,263,9/29/2019,Loss of contract,SEIU United Healthcare Workers East,Plant Closing
4/19/2019,2018-0378,Plant Closing,Anvil NY LLC dba Benchmarc Restaurants by Marc Murphy,"179 West Broadway New York, NY 10013",New York County,(917) 975-3162,Restaurant,6,133,Separations,Economic,The employees are not represented by a union.,Plant Closing
4/19/2019,2018-0380,Plant Closing,"Applebee's (TLC Central, LLC)","Woodbury Common 448 Evergreen Court Central Valley, NY 10917",Orange County,(716) 634-7700,Restaurant,55,55,7/16/2019,Economic,The employees are not represented by a union.,Plant Closing
4/11/2019,2018-0375,Possible Plant Closing,"EZ Mailing Services, Inc.","147-34 176th Street Jamaica, NY 11434",Queens County,(908) 527-6995 Ext. 122,Mailing Services,92,92,4/19/2019,The company is in the process of attempting to sell the business.,The employees are not represented by a union.,Possible Plant Closing
4/17/2019,2018-0379,Plant Closing,"Association for Metroarea Autistic Children, Inc.","25 West 17th Street New York, NY 10011",New York County,(212) 645-5005 Ext,School for children with autism and special needs,77,77,6/26/2019,Economic,The employees are not represented by a union.,Plant Closing
4/18/2019,2018-0377,Plant Unit Closing,100 Resilient Cities (a sponsored project of Rockefeller Philanthropy Advisors),"420 Fifth Avenue New York, NY 10018",New York County,(212) 812-4317,The Rockefeller Foundation launched 100 Resilient Cities to help cities around the world become more resilient to the challenges of the 21st century.,49,49,7/31/2019,Funding ceased.,The employees are not represented by a union.,Plant Unit Closing
